gadm36_2,Area Name,country_name,Country ISO3,Typology Class,Priority,Efficiency,Potential
NGA.35.14_1,Wukari,Nigeria,NGA,High priority,43,0.543147,197231
NGA.35.15_1,Yorro,Nigeria,NGA,High priority,50,0.603477,132790
NGA.35.16_1,Zing,Nigeria,NGA,High priority,49,0.451515,158227
NGA.35.1_1,Ardo-Kola,Nigeria,NGA,High priority,73,0.732255,126919
NGA.35.2_1,Bali,Nigeria,NGA,High priority,47,0.576841,147755
NGA.35.3_1,Donga,Nigeria,NGA,High priority,45,0.569466,163130
NGA.35.4_1,Gashaka,Nigeria,NGA,High priority,54,0.509975,200811
NGA.35.5_1,Gassol,Nigeria,NGA,High priority,65,0.699981,173670
NGA.35.6_1,Ibi,Nigeria,NGA,High priority,42,0.447013,187129
NGA.35.7_1,Jalingo,Nigeria,NGA,High priority,46,0.704314,148815
NGA.35.8_1,Karim-La,Nigeria,NGA,High priority,50,0.302706,186022
NGA.35.9_1,Kurmi,Nigeria,NGA,High priority,49,0.367723,198610
NGA.37.10_1,Maru,Nigeria,NGA,High priority,50,0.515855,189034
NGA.37.12_1,Talata-Mafara,Nigeria,NGA,High priority,55,0.701744,105770
NGA.37.13_1,Tsafe,Nigeria,NGA,High priority,57,0.751985,129254
